dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby
lgfAGuYAdPZ,201610,R6tG0IzAhpv,p8KHSw07YH1,H3XczdtGIO5,11,felix
lgfAGuYAdPZ,201610,R6tG0IzAhpv,lbCDtnQRrh6,H3XczdtGIO5,18,felix
uAlw1jSa1Az,201610,R6tG0IzAhpv,g7Lh5zbS2En,H3XczdtGIO5,1,felix
tArf2JT2OGN,201610,R6tG0IzAhpv,cJKLG2tjEmO,H3XczdtGIO5,1,felix
tArf2JT2OGN,201610,R6tG0IzAhpv,g7Lh5zbS2En,H3XczdtGIO5,3,felix
lgfAGuYAdPZ,201610,yWfuwDEPYEV,lbCDtnQRrh6,XTGYT1BDtAy,399,felix
zpJjBI4BewR,201610,yWfuwDEPYEV,lbCDtnQRrh6,XTGYT1BDtAy,5,felix
tArf2JT2OGN,201610,yWfuwDEPYEV,g7Lh5zbS2En,XTGYT1BDtAy,2,felix
lgfAGuYAdPZ,201610,u0gDQ38iF5S,p8KHSw07YH1,K0cWjvomIMf,122,felix
lgfAGuYAdPZ,201610,u0gDQ38iF5S,lbCDtnQRrh6,K0cWjvomIMf,1039,felix
zpJjBI4BewR,201610,u0gDQ38iF5S,p8KHSw07YH1,K0cWjvomIMf,1,felix
zpJjBI4BewR,201610,u0gDQ38iF5S,lbCDtnQRrh6,K0cWjvomIMf,24,felix
uAlw1jSa1Az,201610,u0gDQ38iF5S,cJKLG2tjEmO,K0cWjvomIMf,3,felix
uAlw1jSa1Az,201610,u0gDQ38iF5S,g7Lh5zbS2En,K0cWjvomIMf,38,felix
tArf2JT2OGN,201610,u0gDQ38iF5S,cJKLG2tjEmO,K0cWjvomIMf,10,felix
tArf2JT2OGN,201610,u0gDQ38iF5S,g7Lh5zbS2En,K0cWjvomIMf,169,felix
lgfAGuYAdPZ,201610,m0NMs35zjQP,p8KHSw07YH1,IpcHlwXHAL4,60,felix
lgfAGuYAdPZ,201610,m0NMs35zjQP,lbCDtnQRrh6,IpcHlwXHAL4,852,felix
zpJjBI4BewR,201610,m0NMs35zjQP,p8KHSw07YH1,IpcHlwXHAL4,1,felix
